Randomness extraction table for dice rolls

* Start in state S000
* Roll one die (the same die every time)
* Find the state you are in in the column corresponding to the roll you made.
* Go to the new state listed there, and output the bits after the comma, if any
* Repeat

Produces 0.680556 bits per roll.

Roll: 1         2         3         4         5         6
S103: S000,11   S000,110  S003,1    S046,1    S046,1    S093,1   
S104: S000,11   S000,110  S003,1    S046,0    S046,0    S093,0   
S105: S018,1    S018,10   S093,1    S003,11   S003,11   S003,1   
S106: S018      S018,0    S093      S003,001  S003,001  S003,00  
S107: S018,1    S018      S094      S004,001  S004,001  S004,00  
S108: S000,111  S000,11   S004,1    S047,1    S047,1    S094,1   
S109: S000,111  S000,11   S004,1    S047,0    S047,0    S094,0   
S110: S018,11   S018,1    S094,1    S004,11   S004,11   S004,1   
S111: S000,101  S000,1010 S003,10   S046      S046      S093     
S112: S000,1011 S000,101  S004,10   S047      S047      S094     
S113: S053,1    S053,10   S101      S103,1    S103,1    S103     
S114: S053,11   S053,1    S102      S108,1    S108,1    S108     
S115: S054,1    S054,10   S106      S111,1    S111,1    S111     
S116: S054,11   S054,1    S107      S112,1    S112,1    S112     
