Entropy extraction table for possibly-biased dice rolls.

* Start in state S00
* Roll 1 die 4 times (the same die every time), but treat 4 as 3.
* Find the row with those 4 rolls on the left in the column with your current state
* Go to the new state listed there, and output the bits listed after the comma (if any)
* Repeat

Produces 2.722 bits of entropy per 4 rolls if the die is unbiased.

      S00:       S01:       S02:       S03:       S04:       S05:       S06:       S07:       S08:       S09:       S10:       S11:       S12:       S13:       S14:
2210: S00,1      S01,0      S01        S03,011    S04,010    S05,011    S04,01     S03,11     S08,010    S08,01     S05,11     S04,10     S04,1      S08,10     S08,1     
3210: S03,1111   S04,1101   S04,111    S00,1011   S01,1001   S00,11011  S01,101    S00,111    S01,11001  S01,1101   S00,1111   S01,101    S01,11     S01,1101   S01,111   
5210: S05,1111   S08,1101   S08,111    S00,01011  S01,01001  S00,1011   S01,0101   S00,0111   S01,1001   S01,101    S00,111    S01,0101   S01,011    S01,101    S01,11    
0310: S04,001    S03,011    S03,1011   S01,001    S00,011    S01,0101   S00,1011   S01,1001   S00,0111   S00,10111  S01,10101  S00,1011   S00,11011  S00,10111  S00,110111
1310: S04,01     S03,0011   S03,011    S01,01     S00,0011   S01,011    S00,011    S01,101    S00,00111  S00,0111   S01,1011   S00,10011  S00,1011   S00,100111 S00,10111 
2310: S03,0111   S04,0101   S04,011    S00,0011   S01,0001   S00,00111  S01,001    S00,011    S01,00101  S01,0011   S00,0111   S01,001    S01,01     S01,0101   S01,011   
3310: S00,1      S01,0      S01        S03,1      S04,0      S03,11     S04        S03,11     S04,10     S04,1      S03,111    S04,10     S04,1      S04,110    S04,11    
5310: S00,11     S01,10     S01,1      S03,01     S04,00     S03,1      S04,0      S03,011    S04,0      S04        S03,11     S04,010    S04,01     S04,10     S04,1     
0510: S08,001    S05,011    S05,1011   S01,0001   S00,0011   S01,001    S00,10011  S01,10001  S00,011    S00,1011   S01,1001   S00,10011  S00,110011 S00,1011   S00,11011 
1510: S08,01     S05,0011   S05,011    S01,001    S00,00011  S01,01     S00,0011   S01,1001   S00,0011   S00,011    S01,101    S00,100011 S00,10011  S00,10011  S00,1011  
2510: S05,0111   S08,0101   S08,011    S00,00011  S01,00001  S00,0011   S01,0001   S00,0011   S01,0001   S01,001    S00,011    S01,0001   S01,001    S01,001    S01,01    
3510: S00,01     S01,00     S01,0      S05,1      S08,0      S05,11     S08        S05,11     S08,10     S08,1      S05,111    S08,10     S08,1      S08,110    S08,11    
5510: S00,1      S01,0      S01        S05,01     S08,00     S05,1      S08,0      S05,011    S08,0      S08        S05,11     S08,010    S08,01     S08,10     S08,1     
0020: S01,1      S00,1      S00,11     S04,0      S03,0      S08,0      S03,10     S04,10     S05,0      S05,10     S08,10     S03,10     S03,110    S05,10     S05,110   
1020: S01,11     S00,01     S00,1      S04,10     S03,00     S08,10     S03,0      S04,110    S05,00     S05,0      S08,110    S03,100    S03,10     S05,100    S05,10    
2020: S00,11     S01,11     S01,111    S03,00     S04,00     S05,00     S04,010    S03,0      S08,00     S08,010    S05,0      S04,0      S04,10     S08,0      S08,10    
3020: S03,101    S04,101    S04,1101   S00,111    S01,111    S00,1111   S01,1111   S00,1111   S01,1111   S01,11111  S00,11111  S01,1111   S01,11111  S01,11111  S01,111111
5020: S05,101    S08,101    S08,1101   S00,0111   S01,0111   S00,111    S01,01111  S00,01111  S01,111    S01,1111   S00,1111   S01,01111  S01,011111 S01,1111   S01,11111 
0120: S01,01     S00,11     S00,111    S04,00     S03,01     S08,00     S03,101    S04,100    S05,01     S05,101    S08,100    S03,101    S03,1101   S05,101    S05,1101  
1120: S01,1      S00,011    S00,11     S04,0      S03,001    S08,0      S03,01     S04,10     S05,001    S05,01     S08,10     S03,1001   S03,101    S05,1001   S05,101   
