Entropy extraction table for possibly-biased dice rolls.

* Start in state S00
* Roll 1 die 4 times (the same die every time), but treat 4 as 3.
* Find the row with those 4 rolls on the left in the column with your current state
* Go to the new state listed there, and output the bits listed after the comma (if any)
* Repeat

Produces 2.722 bits of entropy per 4 rolls if the die is unbiased.

      S00:       S01:       S02:       S03:       S04:       S05:       S06:       S07:       S08:       S09:       S10:       S11:       S12:       S13:       S14:
2011: S02,10     S00,1      S00,11     S06,00     S03,0      S09,00     S03,01     S06,0      S05,0      S05,01     S09,0      S03        S03,1      S05        S05,1     
3011: S06,101    S03,11     S03,111    S02,101    S00,11     S02,1101   S00,111    S02,1101   S00,111    S00,1111   S02,11101  S00,111    S00,1111   S00,1111   S00,11111 
5011: S09,101    S05,11     S05,111    S02,0101   S00,011    S02,101    S00,0111   S02,01101  S00,11     S00,111    S02,1101   S00,0111   S00,01111  S00,111    S00,1111  
0111: S00,0      S02        S02,1      S03,0      S06        S05,0      S06,1      S03,10     S09        S09,1      S05,10     S06,1      S06,11     S09,1      S09,11    
1111: S00        S02,0      S02        S03        S06,0      S05        S06        S03,1      S09,0      S09        S05,1      S06,10     S06,1      S09,10     S09,1     
2111: S02,1      S00,10     S00,1      S06,0      S03,00     S09,0      S03,0      S06        S05,00     S05,0      S09        S03,0      S03        S05,0      S05       
3111: S06,11     S03,101    S03,11     S02,11     S00,101    S02,111    S00,11     S02,111    S00,1101   S00,111    S02,1111   S00,1101   S00,111    S00,11101  S00,1111  
5111: S09,11     S05,101    S05,11     S02,011    S00,0101   S02,11     S00,011    S02,0111   S00,101    S00,11     S02,111    S00,01101  S00,0111   S00,1101   S00,111   
0211: S02,00     S00,0      S00,10     S06,10     S03,1      S09,10     S03,11     S06,110    S05,1      S05,11     S09,110    S03,11     S03,111    S05,11     S05,111   
1211: S02,0      S00,00     S00,0      S06,1      S03,01     S09,1      S03,1      S06,11     S05,01     S05,1      S09,11     S03,101    S03,11     S05,101    S05,11    
2211: S00        S02,0      S02        S03,01     S06,010    S05,01     S06,01     S03,1      S09,010    S09,01     S05,1      S06,10     S06,1      S09,10     S09,1     
3211: S03,111    S06,1101   S06,111    S00,101    S02,1001   S00,1101   S02,101    S00,11     S02,11001  S02,1101   S00,111    S02,101    S02,11     S02,1101   S02,111   
5211: S05,111    S09,1101   S09,111    S00,0101   S02,01001  S00,101    S02,0101   S00,011    S02,1001   S02,101    S00,11     S02,0101   S02,011    S02,101    S02,11    
0311: S06,001    S03,01     S03,101    S02,001    S00,01     S02,0101   S00,101    S02,1001   S00,011    S00,1011   S02,10101  S00,101    S00,1101   S00,1011   S00,11011 
1311: S06,01     S03,001    S03,01     S02,01     S00,001    S02,011    S00,01     S02,101    S00,0011   S00,011    S02,1011   S00,1001   S00,101    S00,10011  S00,1011  
2311: S03,011    S06,0101   S06,011    S00,001    S02,0001   S00,0011   S02,001    S00,01     S02,00101  S02,0011   S00,011    S02,001    S02,01     S02,0101   S02,011   
3311: S00        S02,0      S02        S03        S06,0      S03,1      S06        S03,1      S06,10     S06,1      S03,11     S06,10     S06,1      S06,110    S06,11    
5311: S00,1      S02,10     S02,1      S03,0      S06,00     S03        S06,0      S03,01     S06,0      S06        S03,1      S06,010    S06,01     S06,10     S06,1     
0511: S09,001    S05,01     S05,101    S02,0001   S00,001    S02,001    S00,1001   S02,10001  S00,01     S00,101    S02,1001   S00,1001   S00,11001  S00,101    S00,1101  
1511: S09,01     S05,001    S05,01     S02,001    S00,0001   S02,01     S00,001    S02,1001   S00,001    S00,01     S02,101    S00,10001  S00,1001   S00,1001   S00,101   
2511: S05,011    S09,0101   S09,011    S00,0001   S02,00001  S00,001    S02,0001   S00,001    S02,0001   S02,001    S00,01     S02,0001   S02,001    S02,001    S02,01    
3511: S00,0      S02,00     S02,0      S05        S09,0      S05,1      S09        S05,1      S09,10     S09,1      S05,11     S09,10     S09,1      S09,110    S09,11    
5511: S00        S02,0      S02        S05,0      S09,00     S05        S09,0      S05,01     S09,0      S09        S05,1      S09,010    S09,01     S09,10     S09,1     
0021: S02,1      S00,10     S00,110    S06,0      S03,00     S09,0      S03,100    S06,10     S05,00     S05,100    S09,10     S03,100    S03,1100   S05,100    S05,1100  
1021: S02,11     S00,010    S00,10     S06,10     S03,000    S09,10     S03,00     S06,110    S05,000    S05,00     S09,110    S03,1000   S03,100    S05,1000   S05,100   
2021: S00,110    S02,11     S02,111    S03,000    S06,00     S05,000    S06,010    S03,00     S09,00     S09,010    S05,00     S06,0      S06,10     S09,0      S09,10    
3021: S03,1010   S06,101    S06,1101   S00,1110   S02,111    S00,11110  S02,1111   S00,11110  S02,1111   S02,11111  S00,111110 S02,1111   S02,11111  S02,11111  S02,111111
5021: S05,1010   S09,101    S09,1101   S00,01110  S02,0111   S00,1110   S02,01111  S00,011110 S02,111    S02,1111   S00,11110  S02,01111  S02,011111 S02,1111   S02,11111 
0121: S02,01     S00,1      S00,11     S06,00     S03,0      S09,00     S03,10     S06,100    S05,0      S05,10     S09,100    S03,10     S03,110    S05,10     S05,110   
1121: S02,1      S00,01     S00,1      S06,0      S03,00     S09,0      S03,0      S06,10     S05,00     S05,0      S09,10     S03,100    S03,10     S05,100    S05,10    
2121: S00,11     S02,101    S02,11     S03,00     S06,000    S05,00     S06,00     S03,0      S09,000    S09,00     S05,0      S06,00     S06,0      S09,00     S09,0     
3121: S03,101    S06,1001   S06,101    S00,111    S02,1011   S00,1111   S02,111    S00,1111   S02,11011  S02,1111   S00,11111  S02,11011  S02,1111   S02,111011 S02,11111 
5121: S05,101    S09,1001   S09,101    S00,0111   S02,01011  S00,111    S02,0111   S00,01111  S02,1011   S02,111    S00,1111   S02,011011 S02,01111  S02,11011  S02,1111  
0221: S00,010    S02,01     S02,101    S03,0      S06        S05,0      S06,1      S03,10     S09        S09,1      S05,10     S06,1      S06,11     S09,1      S09,11    
1221: S00,01     S02,001    S02,01     S03        S06,0      S05        S06        S03,1      S09,0      S09        S05,1      S06,10     S06,1      S09,10     S09,1     
2221: S02,1      S00,10     S00,1      S06,0      S03,00     S09,0      S03,0      S06        S05,00     S05,0      S09        S03,0      S03        S05,0      S05       
3221: S06,11     S03,110    S03,11     S02,1011   S00,10110  S02,11011  S00,1011   S02,111    S00,110110 S00,11011  S02,1111   S00,1110   S00,111    S00,11110  S00,1111  
5221: S09,11     S05,110    S05,11     S02,01011  S00,010110 S02,1011   S00,01011  S02,0111   S00,10110  S00,1011   S02,111    S00,01110  S00,0111   S00,1110   S00,111   
0321: S03,0010   S06,001    S06,1001   S00,0110   S02,011    S00,01110  S02,1011   S00,10110  S02,0111   S02,10111  S00,101110 S02,1011   S02,11011  S02,10111  S02,110111
1321: S03,001    S06,0001   S06,001    S00,011    S02,0011   S00,0111   S02,011    S00,1011   S02,00111  S02,0111   S00,10111  S02,10011  S02,1011   S02,100111 S02,10111 
2321: S06,01     S03,010    S03,01     S02,0011   S00,00110  S02,00111  S00,0011   S02,011    S00,001110 S00,00111  S02,0111   S00,0110   S00,011    S00,01110  S00,0111  
3321: S02,1      S00,10     S00,1      S06,0      S03,00     S06,10     S03,0      S06        S03,100    S03,10     S06,1      S03,0      S03        S03,10     S03,1     
5321: S02,11     S00,110    S00,11     S06,00     S03,000    S06,0      S03,00     S06,0      S03,00     S03,0      S06        S03,00     S03,0      S03,0      S03       
0521: S05,0010   S09,001    S09,1001   S00,00110  S02,0011   S00,0110   S02,10011  S00,100110 S02,011    S02,1011   S00,10110  S02,10011  S02,110011 S02,1011   S02,11011 
1521: S05,001    S09,0001   S09,001    S00,0011   S02,00011  S00,011    S02,0011   S00,10011  S02,0011   S02,011    S00,1011   S02,100011 S02,10011  S02,10011  S02,1011  
2521: S09,01     S05,010    S05,01     S02,00011  S00,000110 S02,0011   S00,00011  S02,0011   S00,00110  S00,0011   S02,011    S00,00110  S00,0011   S00,0110   S00,011   
3521: S02,01     S00,010    S00,01     S09,0      S05,00     S09,10     S05,0      S09        S05,100    S05,10     S09,1      S05,0      S05        S05,10     S05,1     
5521: S02,1      S00,10     S00,1      S09,00     S05,000    S09,0      S05,00     S09,0      S05,00     S05,0      S09        S05,00     S05,0      S05,0      S05       
0031: S06,10     S03,100    S03,1100   S02,10     S00,100    S02,110    S00,1100   S02,110    S00,1100   S00,11100  S02,1110   S00,1100   S00,11100  S00,11100  S00,111100
1031: S06,110    S03,0100   S03,100    S02,110    S00,0100   S02,1110   S00,100    S02,1110   S00,01100  S00,1100   S02,11110  S00,10100  S00,1100   S00,101100 S00,11100 
2031: S03,1100   S06,110    S06,1110   S00,0100   S02,010    S00,01100  S02,0110   S00,100    S02,0110   S02,01110  S00,1100   S02,10     S02,110    S02,110    S02,1110  
3031: S00,110    S02,11     S02,111    S03,110    S06,11     S03,1110   S06,111    S03,1110   S06,111    S06,1111   S03,11110  S06,111    S06,1111   S06,1111   S06,11111 
5031: S00,1110   S02,111    S02,1111   S03,0110   S06,011    S03,110    S06,0111   S03,01110  S06,11     S06,111    S03,1110   S06,0111   S06,01111  S06,111    S06,1111  
0131: S06,010    S03,10     S03,110    S02,010    S00,10     S02,0110   S00,110    S02,1010   S00,110    S00,1110   S02,10110  S00,110    S00,1110   S00,1110   S00,11110 
1131: S06,10     S03,010    S03,10     S02,10     S00,010    S02,110    S00,10     S02,110    S00,0110   S00,110    S02,1110   S00,1010   S00,110    S00,10110  S00,1110  
2131: S03,110    S06,1010   S06,110    S00,010    S02,0010   S00,0110   S02,010    S00,10     S02,00110  S02,0110   S00,110    S02,010    S02,10     S02,0110   S02,110   
3131: S00,11     S02,101    S02,11     S03,11     S06,101    S03,111    S06,11     S03,111    S06,1101   S06,111    S03,1111   S06,1101   S06,111    S06,11101  S06,1111  
5131: S00,111    S02,1011   S02,111    S03,011    S06,0101   S03,11     S06,011    S03,0111   S06,101    S06,11     S03,111    S06,01101  S06,0111   S06,1101   S06,111   
0231: S03,0100   S06,010    S06,1010   S00,1010   S02,101    S00,11010  S02,1101   S00,11010  S02,1101   S02,11101  S00,111010 S02,1101   S02,11101  S02,11101  S02,111101
1231: S03,010    S06,0010   S06,010    S00,101    S02,0101   S00,1101   S02,101    S00,1101   S02,01101  S02,1101   S00,11101  S02,10101  S02,1101   S02,101101 S02,11101 
2231: S06,10     S03,100    S03,10     S02,0101   S00,01010  S02,01101  S00,0101   S02,101    S00,011010 S00,01101  S02,1101   S00,1010   S00,101    S00,11010  S00,1101  
3231: S02,111    S00,1110   S00,111    S06,101    S03,1010   S06,1101   S03,101    S06,11     S03,11010  S03,1101   S06,111    S03,110    S03,11     S03,1110   S03,111   
5231: S02,1111   S00,11110  S00,1111   S06,0101   S03,01010  S06,101    S03,0101   S06,011    S03,1010   S03,101    S06,11     S03,0110   S03,011    S03,110    S03,11    
0331: S00,010    S02,01     S02,101    S03,010    S06,01     S03,0110   S06,101    S03,1010   S06,011    S06,1011   S03,10110  S06,101    S06,1101   S06,1011   S06,11011 
1331: S00,01     S02,001    S02,01     S03,01     S06,001    S03,011    S06,01     S03,101    S06,0011   S06,011    S03,1011   S06,1001   S06,101    S06,10011  S06,1011  
2331: S02,011    S00,0110   S00,011    S06,001    S03,0010   S06,0011   S03,001    S06,01     S03,00110  S03,0011   S06,011    S03,010    S03,01     S03,0110   S03,011   
3331: S06,10     S03,100    S03,10     S02,10     S00,100    S02,110    S00,10     S02,101    S00,1100   S00,110    S02,1101   S00,1010   S00,101    S00,11010  S00,1101  
5331: S06,110    S03,1100   S03,110    S02,010    S00,0100   S02,10     S00,010    S02,0101   S00,100    S00,10     S02,101    S00,01010  S00,0101   S00,1010   S00,101   
0531: S00,0110   S02,011    S02,1011   S03,0010   S06,001    S03,010    S06,1001   S03,10010  S06,01     S06,101    S03,1010   S06,1001   S06,11001  S06,101    S06,1101  
1531: S00,011    S02,0011   S02,011    S03,001    S06,0001   S03,01     S06,001    S03,1001   S06,001    S06,01     S03,101    S06,10001  S06,1001   S06,1001   S06,101   
2531: S02,0111   S00,01110  S00,0111   S06,0001   S03,00010  S06,001    S03,0001   S06,001    S03,0010   S03,001    S06,01     S03,0010   S03,001    S03,010    S03,01    
3531: S06,010    S03,0100   S03,010    S02,110    S00,1100   S02,1110   S00,110    S02,1101   S00,11100  S00,1110   S02,11101  S00,11010  S00,1101   S00,111010 S00,11101 
5531: S06,10     S03,100    S03,10     S02,0110   S00,01100  S02,110    S00,0110   S02,01101  S00,1100   S00,110    S02,1101   S00,011010 S00,01101  S00,11010  S00,1101  
0051: S09,10     S05,100    S05,1100   S02,010    S00,0100   S02,10     S00,10100  S02,1010   S00,100    S00,1100   S02,110    S00,10100  S00,110100 S00,1100   S00,11100 
1051: S09,110    S05,0100   S05,100    S02,1010   S00,00100  S02,110    S00,0100   S02,11010  S00,0100   S00,100    S02,1110   S00,100100 S00,10100  S00,10100  S00,1100  
2051: S05,1100   S09,110    S09,1110   S00,00100  S02,0010   S00,0100   S02,01010  S00,0100   S02,010    S02,0110   S00,100    S02,010    S02,1010   S02,10     S02,110   
3051: S00,1010   S02,101    S02,1101   S05,110    S09,11     S05,1110   S09,111    S05,1110   S09,111    S09,1111   S05,11110  S09,111    S09,1111   S09,1111   S09,11111 
5051: S00,110    S02,11     S02,111    S05,0110   S09,011    S05,110    S09,0111   S05,01110  S09,11     S09,111    S05,1110   S09,0111   S09,01111  S09,111    S09,1111  
0151: S09,010    S05,10     S05,110    S02,0010   S00,010    S02,010    S00,1010   S02,10010  S00,10     S00,110    S02,1010   S00,1010   S00,11010  S00,110    S00,1110  
1151: S09,10     S05,010    S05,10     S02,010    S00,0010   S02,10     S00,010    S02,1010   S00,010    S00,10     S02,110    S00,10010  S00,1010   S00,1010   S00,110   
2151: S05,110    S09,1010   S09,110    S00,0010   S02,00010  S00,010    S02,0010   S00,010    S02,0010   S02,010    S00,10     S02,0010   S02,010    S02,010    S02,10    
3151: S00,101    S02,1001   S02,101    S05,11     S09,101    S05,111    S09,11     S05,111    S09,1101   S09,111    S05,1111   S09,1101   S09,111    S09,11101  S09,1111  
5151: S00,11     S02,101    S02,11     S05,011    S09,0101   S05,11     S09,011    S05,0111   S09,101    S09,11     S05,111    S09,01101  S09,0111   S09,1101   S09,111   
0251: S05,0100   S09,010    S09,1010   S00,01010  S02,0101   S00,1010   S02,10101  S00,101010 S02,101    S02,1101   S00,11010  S02,10101  S02,110101 S02,1101   S02,11101 
1251: S05,010    S09,0010   S09,010    S00,0101   S02,00101  S00,101    S02,0101   S00,10101  S02,0101   S02,101    S00,1101   S02,100101 S02,10101  S02,10101  S02,1101  
2251: S09,10     S05,100    S05,10     S02,00101  S00,001010 S02,0101   S00,00101  S02,0101   S00,01010  S00,0101   S02,101    S00,01010  S00,0101   S00,1010   S00,101   
3251: S02,1011   S00,10110  S00,1011   S09,101    S05,1010   S09,1101   S05,101    S09,11     S05,11010  S05,1101   S09,111    S05,110    S05,11     S05,1110   S05,111   
5251: S02,111    S00,1110   S00,111    S09,0101   S05,01010  S09,101    S05,0101   S09,011    S05,1010   S05,101    S09,11     S05,0110   S05,011    S05,110    S05,11    
0351: S00,0010   S02,001    S02,1001   S05,010    S09,01     S05,0110   S09,101    S05,1010   S09,011    S09,1011   S05,10110  S09,101    S09,1101   S09,1011   S09,11011 
1351: S00,001    S02,0001   S02,001    S05,01     S09,001    S05,011    S09,01     S05,101    S09,0011   S09,011    S05,1011   S09,1001   S09,101    S09,10011  S09,1011  
2351: S02,0011   S00,00110  S00,0011   S09,001    S05,0010   S09,0011   S05,001    S09,01     S05,00110  S05,0011   S09,011    S05,010    S05,01     S05,0110   S05,011   
3351: S09,10     S05,100    S05,10     S02,010    S00,0100   S02,1010   S00,010    S02,0101   S00,10100  S00,1010   S02,10101  S00,01010  S00,0101   S00,101010 S00,10101 
5351: S09,110    S05,1100   S05,110    S02,0010   S00,00100  S02,010    S00,0010   S02,00101  S00,0100   S00,010    S02,0101   S00,001010 S00,00101  S00,01010  S00,0101  
0551: S00,010    S02,01     S02,101    S05,0010   S09,001    S05,010    S09,1001   S05,10010  S09,01     S09,101    S05,1010   S09,1001   S09,11001  S09,101    S09,1101  
1551: S00,01     S02,001    S02,01     S05,001    S09,0001   S05,01     S09,001    S05,1001   S09,001    S09,01     S05,101    S09,10001  S09,1001   S09,1001   S09,101   
2551: S02,011    S00,0110   S00,011    S09,0001   S05,00010  S09,001    S05,0001   S09,001    S05,0010   S05,001    S09,01     S05,0010   S05,001    S05,010    S05,01    
3551: S09,010    S05,0100   S05,010    S02,10     S00,100    S02,110    S00,10     S02,101    S00,1100   S00,110    S02,1101   S00,1010   S00,101    S00,11010  S00,1101  
5551: S09,10     S05,100    S05,10     S02,010    S00,0100   S02,10     S00,010    S02,0101   S00,100    S00,10     S02,101    S00,01010  S00,0101   S00,1010   S00,101   
0002: S01,0      S00,0      S00,10     S11        S07        S13        S07,1      S11,1      S10        S10,1      S13,1      S07,1      S07,11     S10,1      S10,11    
1002: S01,10     S00,00     S00,0      S11,1      S07,0      S13,1      S07        S11,11     S10,0      S10        S13,11     S07,10     S07,1      S10,10     S10,1     
2002: S00,10     S01,10     S01,110    S07,0      S11,0      S10,0      S11,01     S07        S13,0      S13,01     S10        S11        S11,1      S13        S13,1     
3002: S07,11     S11,11     S11,111    S00,110    S01,110    S00,1110   S01,1110   S00,1110   S01,1110   S01,11110  S00,11110  S01,1110   S01,11110  S01,11110  S01,111110
5002: S10,11     S13,11     S13,111    S00,0110   S01,0110   S00,110    S01,01110  S00,01110  S01,110    S01,1110   S00,1110   S01,01110  S01,011110 S01,1110   S01,11110 
0102: S01,00     S00,10     S00,110    S11,0      S07,1      S13,0      S07,11     S11,10     S10,1      S10,11     S13,10     S07,11     S07,111    S10,11     S10,111   
1102: S01,0      S00,010    S00,10     S11        S07,01     S13        S07,1      S11,1      S10,01     S10,1      S13,1      S07,101    S07,11     S10,101    S10,11    
2102: S00,110    S01,100    S01,10     S07,01     S11,00     S10,01     S11,0      S07,1      S13,00     S13,0      S10,1      S11,0      S11        S13,0      S13       
3102: S07,111    S11,101    S11,11     S00,1110   S01,1010   S00,11110  S01,110    S00,11110  S01,11010  S01,1110   S00,111110 S01,11010  S01,1110   S01,111010 S01,11110 
5102: S10,111    S13,101    S13,11     S00,01110  S01,01010  S00,1110   S01,0110   S00,011110 S01,1010   S01,110    S00,11110  S01,011010 S01,01110  S01,11010  S01,1110  
0202: S00,00     S01,00     S01,100    S07,1      S11,1      S10,1      S11,11     S07,11     S13,1      S13,11     S10,11     S11,11     S11,111    S13,11     S13,111   
1202: S00,010    S01,000    S01,00     S07,11     S11,01     S10,11     S11,1      S07,111    S13,01     S13,1      S10,111    S11,101    S11,11     S13,101    S13,11    
2202: S01,0      S00,0      S00,10     S11,01     S07,01     S13,01     S07,011    S11,1      S10,01     S10,011    S13,1      S07,1      S07,11     S10,1      S10,11    
3202: S11,111    S07,111    S07,1111   S01,1010   S00,1010   S01,11010  S00,10110  S01,110    S00,11010  S00,110110 S01,1110   S00,110    S00,1110   S00,1110   S00,11110 
5202: S13,111    S10,111    S10,1111   S01,01010  S00,01010  S01,1010   S00,010110 S01,0110   S00,1010   S00,10110  S01,110    S00,0110   S00,01110  S00,110    S00,1110  
0302: S07,01     S11,01     S11,101    S00,010    S01,010    S00,0110   S01,1010   S00,1010   S01,0110   S01,10110  S00,10110  S01,1010   S01,11010  S01,10110  S01,110110
1302: S07,011    S11,001    S11,01     S00,0110   S01,0010   S00,01110  S01,010    S00,10110  S01,00110  S01,0110   S00,101110 S01,10010  S01,1010   S01,100110 S01,10110 
2302: S11,011    S07,011    S07,0111   S01,0010   S00,0010   S01,00110  S00,00110  S01,010    S00,00110  S00,001110 S01,0110   S00,010    S00,0110   S00,0110   S00,01110 
3302: S01,0      S00,0      S00,10     S11        S07        S11,1      S07,1      S11,1      S07,1      S07,11     S11,11     S07,1      S07,11     S07,11     S07,111   
5302: S01,10     S00,10     S00,110    S11,0      S07,0      S11        S07,01     S11,01     S07        S07,1      S11,1      S07,01     S07,011    S07,1      S07,11    
0502: S10,01     S13,01     S13,101    S00,0010   S01,0010   S00,010    S01,10010  S00,10010  S01,010    S01,1010   S00,1010   S01,10010  S01,110010 S01,1010   S01,11010 
1502: S10,011    S13,001    S13,01     S00,00110  S01,00010  S00,0110   S01,0010   S00,100110 S01,0010   S01,010    S00,10110  S01,100010 S01,10010  S01,10010  S01,1010  
2502: S13,011    S10,011    S10,0111   S01,00010  S00,00010  S01,0010   S00,000110 S01,0010   S00,0010   S00,00110  S01,010    S00,0010   S00,00110  S00,010    S00,0110  
3502: S01,00     S00,00     S00,010    S13        S10        S13,1      S10,1      S13,1      S10,1      S10,11     S13,11     S10,1      S10,11     S10,11     S10,111   
5502: S01,0      S00,0      S00,10     S13,0      S10,0      S13        S10,01     S13,01     S10        S10,1      S13,1      S10,01     S10,011    S10,1      S10,11    
0012: S02,0      S00,00     S00,100    S12        S07,0      S14        S07,10     S12,1      S10,0      S10,10     S14,1      S07,10     S07,110    S10,10     S10,110   
1012: S02,10     S00,000    S00,00     S12,1      S07,00     S14,1      S07,0      S12,11     S10,00     S10,0      S14,11     S07,100    S07,10     S10,100    S10,10    
2012: S00,100    S02,10     S02,110    S07,00     S12,0      S10,00     S12,01     S07,0      S14,0      S14,01     S10,0      S12        S12,1      S14        S14,1     
3012: S07,101    S12,11     S12,111    S00,1010   S02,110    S00,11010  S02,1110   S00,11010  S02,1110   S02,11110  S00,111010 S02,1110   S02,11110  S02,11110  S02,111110
5012: S10,101    S14,11     S14,111    S00,01010  S02,0110   S00,1010   S02,01110  S00,011010 S02,110    S02,1110   S00,11010  S02,01110  S02,011110 S02,1110   S02,11110 
0112: S02,00     S00,0      S00,10     S12,0      S07        S14,0      S07,1      S12,10     S10        S10,1      S14,10     S07,1      S07,11     S10,1      S10,11    
1112: S02,0      S00,00     S00,0      S12        S07,0      S14        S07        S12,1      S10,0      S10        S14,1      S07,10     S07,1      S10,10     S10,1     
2112: S00,10     S02,100    S02,10     S07,0      S12,00     S10,0      S12,0      S07        S14,00     S14,0      S10        S12,0      S12        S14,0      S14       
3112: S07,11     S12,101    S12,11     S00,110    S02,1010   S00,1110   S02,110    S00,1110   S02,11010  S02,1110   S00,11110  S02,11010  S02,1110   S02,111010 S02,11110 
5112: S10,11     S14,101    S14,11     S00,0110   S02,01010  S00,110    S02,0110   S00,01110  S02,1010   S02,110    S00,1110   S02,011010 S02,01110  S02,11010  S02,1110  
0212: S00,000    S02,00     S02,100    S07,10     S12,1      S10,10     S12,11     S07,110    S14,1      S14,11     S10,110    S12,11     S12,111    S14,11     S14,111   
1212: S00,00     S02,000    S02,00     S07,1      S12,01     S10,1      S12,1      S07,11     S14,01     S14,1      S10,11     S12,101    S12,11     S14,101    S14,11    
2212: S02,0      S00,00     S00,0      S12,01     S07,010    S14,01     S07,01     S12,1      S10,010    S10,01     S14,1      S07,10     S07,1      S10,10     S10,1     
3212: S12,111    S07,1101   S07,111    S02,1010   S00,10010  S02,11010  S00,1010   S02,110    S00,110010 S00,11010  S02,1110   S00,1010   S00,110    S00,11010  S00,1110  
5212: S14,111    S10,1101   S10,111    S02,01010  S00,010010 S02,1010   S00,01010  S02,0110   S00,10010  S00,1010   S02,110    S00,01010  S00,0110   S00,1010   S00,110   
0312: S07,001    S12,01     S12,101    S00,0010   S02,010    S00,01010  S02,1010   S00,10010  S02,0110   S02,10110  S00,101010 S02,1010   S02,11010  S02,10110  S02,110110
1312: S07,01     S12,001    S12,01     S00,010    S02,0010   S00,0110   S02,010    S00,1010   S02,00110  S02,0110   S00,10110  S02,10010  S02,1010   S02,100110 S02,10110 
2312: S12,011    S07,0101   S07,011    S02,0010   S00,00010  S02,00110  S00,0010   S02,010    S00,001010 S00,00110  S02,0110   S00,0010   S00,010    S00,01010  S00,0110  
3312: S02,0      S00,00     S00,0      S12        S07,0      S12,1      S07        S12,1      S07,10     S07,1      S12,11     S07,10     S07,1      S07,110    S07,11    
5312: S02,10     S00,100    S00,10     S12,0      S07,00     S12        S07,0      S12,01     S07,0      S07        S12,1      S07,010    S07,01     S07,10     S07,1     
0512: S10,001    S14,01     S14,101    S00,00010  S02,0010   S00,0010   S02,10010  S00,100010 S02,010    S02,1010   S00,10010  S02,10010  S02,110010 S02,1010   S02,11010 
1512: S10,01     S14,001    S14,01     S00,0010   S02,00010  S00,010    S02,0010   S00,10010  S02,0010   S02,010    S00,1010   S02,100010 S02,10010  S02,10010  S02,1010  
2512: S14,011    S10,0101   S10,011    S02,00010  S00,000010 S02,0010   S00,00010  S02,0010   S00,00010  S00,0010   S02,010    S00,00010  S00,0010   S00,0010   S00,010   
3512: S02,00     S00,000    S00,00     S14        S10,0      S14,1      S10        S14,1      S10,10     S10,1      S14,11     S10,10     S10,1      S10,110    S10,11    
5512: S02,0      S00,00     S00,0      S14,0      S10,00     S14        S10,0      S14,01     S10,0      S10        S14,1      S10,010    S10,01     S10,10     S10,1     
0022: S00        S01        S01,1      S07,0      S11,0      S10,0      S11,10     S07,10     S13,0      S13,10     S10,10     S11,10     S11,110    S13,10     S13,110   
1022: S00,1      S01,0      S01        S07,10     S11,00     S10,10     S11,0      S07,110    S13,00     S13,0      S10,110    S11,100    S11,10     S13,100    S13,10    
2022: S01,1      S00,1      S00,11     S11,00     S07,00     S13,00     S07,010    S11,0      S10,00     S10,010    S13,0      S07,0      S07,10     S10,0      S10,10    
3022: S11,101    S07,101    S07,1101   S01,11     S00,11     S01,111    S00,111    S01,111    S00,111    S00,1111   S01,1111   S00,111    S00,1111   S00,1111   S00,11111 
5022: S13,101    S10,101    S10,1101   S01,011    S00,011    S01,11     S00,0111   S01,0111   S00,11     S00,111    S01,111    S00,0111   S00,01111  S00,111    S00,1111  
0122: S00,0      S02        S02,1      S07,00     S12,0      S10,00     S12,10     S07,100    S14,0      S14,10     S10,100    S12,10     S12,110    S14,10     S14,110   
1122: S00        S02,0      S02        S07,0      S12,00     S10,0      S12,0      S07,10     S14,00     S14,0      S10,10     S12,100    S12,10     S14,100    S14,10    
2122: S02,1      S00,10     S00,1      S12,00     S07,000    S14,00     S07,00     S12,0      S10,000    S10,00     S14,0      S07,00     S07,0      S10,00     S10,0     
3122: S12,101    S07,1001   S07,101    S02,11     S00,101    S02,111    S00,11     S02,111    S00,1101   S00,111    S02,1111   S00,1101   S00,111    S00,11101  S00,1111  
5122: S14,101    S10,1001   S10,101    S02,011    S00,0101   S02,11     S00,011    S02,0111   S00,101    S00,11     S02,111    S00,01101  S00,0111   S00,1101   S00,111   
0222: S01,0      S00,0      S00,10     S11        S07        S13        S07,1      S11,1      S10        S10,1      S13,1      S07,1      S07,11     S10,1      S10,11    
1222: S02,0      S00,00     S00,0      S12        S07,0      S14        S07        S12,1      S10,0      S10        S14,1      S07,10     S07,1      S10,10     S10,1     
2222: S00        S01        S02        S07,0      S11,0      S10,0      S12,0      S07        S13,0      S14,0      S10        S11        S12        S13        S14       
3222: S07,11     S11,11     S12,11     S00,101    S01,101    S00,1101   S02,101    S00,11     S01,1101   S02,1101   S00,111    S01,11     S02,11     S01,111    S02,111   
5222: S10,11     S13,11     S14,11     S00,0101   S01,0101   S00,101    S02,0101   S00,011    S01,101    S02,101    S00,11     S01,011    S02,011    S01,11     S02,11    
0322: S11,001    S07,001    S07,1001   S01,01     S00,01     S01,011    S00,101    S01,101    S00,011    S00,1011   S01,1011   S00,101    S00,1101   S00,1011   S00,11011 
1322: S12,001    S07,0001   S07,001    S02,01     S00,001    S02,011    S00,01     S02,101    S00,0011   S00,011    S02,1011   S00,1001   S00,101    S00,10011  S00,1011  
2322: S07,01     S11,01     S12,01     S00,001    S01,001    S00,0011   S02,001    S00,01     S01,0011   S02,0011   S00,011    S01,01     S02,01     S01,011    S02,011   
